texto,nivel
Tino va al colegio Francesco Altan Tino sale de casa Lleva el jersey rojo y la cartera amarilla Hoy es su primer día de colegio.,1
Tino corre porque llega tarde Tropieza con una piedra y se cae La cartera se le escapa de las manos y vuela por los aires.,1
La cartera se cae al río y el agua se la lleva Tino corre por la orilla Es más rápido que la corriente Al cabo de un rato llega al puente que cruza el río.,1
Coge la caña de pescar y espera a que pase la cartera Tino tira el anzuelo y pesca la cartera Pesa mucho porque está llena de agua.,1
Con un poco de esfuerzo la saca del río En la puerta del colegio está la maestra Marisa Lleva un vestido rojo y unos zapatos azules.,1
"Toca la campana y dice: ""¡Entrad, niños"" Tino y sus compañeros se sientan en los pupitres La maestra Marisa dice: ""Abrid la cartera y coged el lápiz"" De la mochila de Tino sale un pececito rojo.",1
"La maestra le pregunta: ""¿Qué es eso "" Tino le contesta: ""Un pececito rojo"" La maestra mete el pececito en una pecera llena de agua.",1
"Luego dice: ""Cuando acabe la clase lo devolverás al río, Tino"" El pececito mira cómo la maestra escribe las primeras letras del alfabeto y algunos números Después la maestra dibuja una mariposa.",1
"La clase se ha acabado Tino vuelve al río con el pececito y le pregunta: ¿Cómo te llamas ""Jaimito"" le contesta el pececito Jaimito le dice ""La clase me ha gustado mucho, pero lo más bonito de todo ha sido la mariposa amarilla"".",1
Las iguales son especiales SALLY RIPPIN Adaptación Mar Benegas Cuidado No entres Peligro Mejor no abras este libro La escuela de monstruos ha abierto sus puertas.,1
"Si sales corriendo, ¡seguro que aciertas ¡Monstruos traviesos y especiales Ana y Jana son casi iguales Jana juega y es bondadosa Se distrae con cualquier cosa.",1
"Ana es traviesa y más malvada, se divierte haciendo trastadas Inés le da un postre jugoso y Jana piensa: ""¡Que delicioso "" Ana las vigila escondida.",1
¡Sale y se lo roba enseguida Pedro le presta su juguete Jana ríe en un periquete Jana es la hermana favorita Ana de nuevo se lo quita.,1
"Mauro pregunta a las hermanas Lloran y lloran con muchas ganas Ana piensa que nadie la quiere, que eligen a Jana y eso la hiere.",1
"Jana piensa que no la deja en paz, todo se lo roba y no puede jugar El maestro tiene un plan ¿Podrán hacerlo ¡Sí, podrán.",1
"Cambia sus nombres: Ana es Jana, y, de pronto, Jana es Ana Juegan, ríen muy alocadas, no las descubren, no pasa nada Se intercambian día tras día.",1
¡Van a la escuela con mucha alegría Y comparten a los amigos como si fueran sus abrigos Si te encuentras a estas hermanas puede que Jana se llama Ana.,1
